,difficulty_rank,difficulty,arrayposition_mainVariableName,arrayposition_sub0,arrayposition_sub1,arrayposition_sub2,difficulty_mainVariableName,difficulty_sub0,difficulty_sub1,difficulty_sub2
0,3.0,0.013574660633484163,0,1,1,1,0.0,0.08333333333333333,0.08333333333333333,0.08333333333333333
1,1.0,0.004524886877828055,0,0,1,0,0.0,0.0,0.08333333333333333,0.0
2,3.0,0.013574660633484163,0,1,1,1,0.0,0.08333333333333333,0.08333333333333333,0.08333333333333333
3,38.0,0.17194570135746606,1,0,0,1,0.2,0.0,0.0,0.08333333333333333
4,38.0,0.17194570135746606,1,1,0,0,0.2,0.08333333333333333,0.0,0.0
5,39.0,0.17647058823529413,1,1,0,1,0.2,0.08333333333333333,0.0,0.08333333333333333
6,74.0,0.334841628959276,2,0,0,0,0.4,0.0,0.0,0.0
7,76.0,0.3438914027149321,2,1,0,1,0.4,0.08333333333333333,0.0,0.08333333333333333
8,76.0,0.3438914027149321,2,0,1,1,0.4,0.0,0.08333333333333333,0.08333333333333333
9,2.0,0.00904977375565611,0,1,1,0,0.0,0.08333333333333333,0.08333333333333333,0.0
10,2.0,0.00904977375565611,0,1,1,0,0.0,0.08333333333333333,0.08333333333333333,0.0
11,4.0,0.01809954751131222,0,1,1,2,0.0,0.08333333333333333,0.08333333333333333,0.16666666666666666
12,76.0,0.3438914027149321,2,1,1,0,0.4,0.08333333333333333,0.08333333333333333,0.0
13,77.0,0.34841628959276016,2,2,0,1,0.4,0.16666666666666666,0.0,0.08333333333333333
14,77.0,0.34841628959276016,2,1,0,2,0.4,0.08333333333333333,0.0,0.16666666666666666
15,76.0,0.3438914027149321,2,1,1,0,0.4,0.08333333333333333,0.08333333333333333,0.0
16,76.0,0.3438914027149321,2,0,1,1,0.4,0.0,0.08333333333333333,0.08333333333333333
17,75.0,0.3393665158371041,2,1,0,0,0.4,0.08333333333333333,0.0,0.0
18,40.0,0.18099547511312217,1,1,1,1,0.2,0.08333333333333333,0.08333333333333333,0.08333333333333333
19,38.0,0.17194570135746606,1,0,1,0,0.2,0.0,0.08333333333333333,0.0
20,41.0,0.18552036199095023,1,2,2,0,0.2,0.16666666666666666,0.16666666666666666,0.0
21,77.0,0.34841628959276016,2,2,1,0,0.4,0.16666666666666666,0.08333333333333333,0.0
22,76.0,0.3438914027149321,2,1,1,0,0.4,0.08333333333333333,0.08333333333333333,0.0
23,77.0,0.34841628959276016,2,3,0,0,0.4,0.25,0.0,0.0
24,4.0,0.01809954751131222,0,1,1,2,0.0,0.08333333333333333,0.08333333333333333,0.16666666666666666
25,4.0,0.01809954751131222,0,1,1,2,0.0,0.08333333333333333,0.08333333333333333,0.16666666666666666
26,4.0,0.01809954751131222,0,0,1,3,0.0,0.0,0.08333333333333333,0.25
27,76.0,0.3438914027149321,2,1,1,0,0.4,0.08333333333333333,0.08333333333333333,0.0
28,79.0,0.3574660633484163,2,1,2,2,0.4,0.08333333333333333,0.16666666666666666,0.16666666666666666
29,75.0,0.3393665158371041,2,0,1,0,0.4,0.0,0.08333333333333333,0.0
30,4.0,0.01809954751131222,0,0,1,3,0.0,0.0,0.08333333333333333,0.25
31,4.0,0.01809954751131222,0,2,0,2,0.0,0.16666666666666666,0.0,0.16666666666666666
32,4.0,0.01809954751131222,0,2,1,1,0.0,0.16666666666666666,0.08333333333333333,0.08333333333333333
33,5.0,0.02262443438914027,0,3,1,1,0.0,0.25,0.08333333333333333,0.08333333333333333
34,5.0,0.02262443438914027,0,3,1,1,0.0,0.25,0.08333333333333333,0.08333333333333333
35,5.0,0.02262443438914027,0,1,1,3,0.0,0.08333333333333333,0.08333333333333333,0.25
36,79.0,0.3574660633484163,2,3,2,0,0.4,0.25,0.16666666666666666,0.0
37,78.0,0.35294117647058826,2,1,0,3,0.4,0.08333333333333333,0.0,0.25
38,79.0,0.3574660633484163,2,2,3,0,0.4,0.16666666666666666,0.25,0.0
39,78.0,0.35294117647058826,2,4,0,0,0.4,0.3333333333333333,0.0,0.0
40,82.0,0.37104072398190047,2,3,3,2,0.4,0.25,0.25,0.16666666666666666
41,82.0,0.37104072398190047,2,3,3,2,0.4,0.25,0.25,0.16666666666666666
42,81.0,0.3665158371040724,2,1,4,2,0.4,0.08333333333333333,0.3333333333333333,0.16666666666666666
43,76.0,0.3438914027149321,2,0,0,2,0.4,0.0,0.0,0.16666666666666666
44,80.0,0.36199095022624433,2,0,4,2,0.4,0.0,0.3333333333333333,0.16666666666666666
45,42.0,0.19004524886877827,1,2,1,2,0.2,0.16666666666666666,0.08333333333333333,0.16666666666666666
46,43.0,0.19457013574660634,1,2,2,2,0.2,0.16666666666666666,0.16666666666666666,0.16666666666666666
47,44.0,0.19909502262443438,1,2,3,2,0.2,0.16666666666666666,0.25,0.16666666666666666
48,44.0,0.19909502262443438,1,2,3,2,0.2,0.16666666666666666,0.25,0.16666666666666666
49,43.0,0.19457013574660634,1,2,2,2,0.2,0.16666666666666666,0.16666666666666666,0.16666666666666666
50,41.0,0.18552036199095023,1,0,2,2,0.2,0.0,0.16666666666666666,0.16666666666666666
51,42.0,0.19004524886877827,1,0,3,2,0.2,0.0,0.25,0.16666666666666666
52,44.0,0.19909502262443438,1,3,2,2,0.2,0.25,0.16666666666666666,0.16666666666666666
53,42.0,0.19004524886877827,1,2,2,1,0.2,0.16666666666666666,0.16666666666666666,0.08333333333333333
54,44.0,0.19909502262443438,1,2,3,2,0.2,0.16666666666666666,0.25,0.16666666666666666
55,41.0,0.18552036199095023,1,0,2,2,0.2,0.0,0.16666666666666666,0.16666666666666666
56,43.0,0.19457013574660634,1,3,1,2,0.2,0.25,0.08333333333333333,0.16666666666666666
57,6.0,0.027149321266968326,0,1,1,4,0.0,0.08333333333333333,0.08333333333333333,0.3333333333333333
58,4.0,0.01809954751131222,0,2,1,1,0.0,0.16666666666666666,0.08333333333333333,0.08333333333333333
59,5.0,0.02262443438914027,0,4,0,1,0.0,0.3333333333333333,0.0,0.08333333333333333
60,6.0,0.027149321266968326,0,4,1,1,0.0,0.3333333333333333,0.08333333333333333,0.08333333333333333
61,1.0,0.004524886877828055,0,1,0,0,0.0,0.08333333333333333,0.0,0.0
62,4.0,0.01809954751131222,0,3,0,1,0.0,0.25,0.0,0.08333333333333333
63,6.0,0.027149321266968326,0,4,1,1,0.0,0.3333333333333333,0.08333333333333333,0.08333333333333333
64,3.0,0.013574660633484163,0,1,1,1,0.0,0.08333333333333333,0.08333333333333333,0.08333333333333333
65,9.0,0.04072398190045249,0,3,2,4,0.0,0.25,0.16666666666666666,0.3333333333333333
66,83.0,0.3755656108597285,2,3,4,2,0.4,0.25,0.3333333333333333,0.16666666666666666
67,82.0,0.37104072398190047,2,4,2,2,0.4,0.3333333333333333,0.16666666666666666,0.16666666666666666
68,81.0,0.3665158371040724,2,1,4,2,0.4,0.08333333333333333,0.3333333333333333,0.16666666666666666
69,45.0,0.20361990950226244,1,2,4,2,0.2,0.16666666666666666,0.3333333333333333,0.16666666666666666
70,42.0,0.19004524886877827,1,2,2,1,0.2,0.16666666666666666,0.16666666666666666,0.08333333333333333
71,45.0,0.20361990950226244,1,4,2,2,0.2,0.3333333333333333,0.16666666666666666,0.16666666666666666
72,6.0,0.027149321266968326,0,3,2,1,0.0,0.25,0.16666666666666666,0.08333333333333333
73,12.0,0.05429864253393665,0,4,3,5,0.0,0.3333333333333333,0.25,0.4166666666666667
74,10.0,0.04524886877828054,0,3,2,5,0.0,0.25,0.16666666666666666,0.4166666666666667
75,83.0,0.3755656108597285,2,2,5,2,0.4,0.16666666666666666,0.4166666666666667,0.16666666666666666
76,79.0,0.3574660633484163,2,0,3,2,0.4,0.0,0.25,0.16666666666666666
77,85.0,0.38461538461538464,2,4,5,2,0.4,0.3333333333333333,0.4166666666666667,0.16666666666666666
78,11.0,0.049773755656108594,0,5,1,5,0.0,0.4166666666666667,0.08333333333333333,0.4166666666666667
79,4.0,0.01809954751131222,0,1,3,0,0.0,0.08333333333333333,0.25,0.0
80,9.0,0.04072398190045249,0,2,1,6,0.0,0.16666666666666666,0.08333333333333333,0.5
81,11.0,0.049773755656108594,0,5,0,6,0.0,0.4166666666666667,0.0,0.5
82,6.0,0.027149321266968326,0,2,0,4,0.0,0.16666666666666666,0.0,0.3333333333333333
83,11.0,0.049773755656108594,0,4,3,4,0.0,0.3333333333333333,0.25,0.3333333333333333
